nota,0,1
0.0,100.0,0.0
0.15,0.0,100.0
0.25,0.0,100.0
0.35,100.0,0.0
0.38,0.0,100.0
0.4,100.0,0.0
0.45,100.0,0.0
0.5,85.71428571428571,14.285714285714285
0.55,100.0,0.0
0.56,100.0,0.0
0.6,75.0,25.0
0.62,100.0,0.0
0.65,85.71428571428571,14.285714285714285
0.69,66.66666666666666,33.33333333333333
0.7,57.14285714285714,42.857142857142854
0.75,86.66666666666667,13.333333333333334
0.8,77.77777777777779,22.22222222222222
0.85,70.0,30.0
0.88,54.54545454545454,45.45454545454545
0.9,87.5,12.5
0.95,81.81818181818183,18.181818181818183
1.0,72.72727272727273,27.27272727272727
