nota,0,1
0.0,93.33333333333333,6.666666666666667
0.15,50.0,50.0
0.25,100.0,0.0
0.35,100.0,0.0
0.38,0.0,100.0
0.4,50.0,50.0
0.45,100.0,0.0
0.5,28.57142857142857,71.42857142857143
0.55,0.0,100.0
0.56,50.0,50.0
0.6,75.0,25.0
0.62,50.0,50.0
0.65,57.14285714285714,42.857142857142854
0.69,33.33333333333333,66.66666666666666
0.7,71.42857142857143,28.57142857142857
0.75,40.0,60.0
0.8,22.22222222222222,77.77777777777779
0.85,40.0,60.0
0.88,0.0,100.0
0.9,50.0,50.0
0.95,9.090909090909092,90.9090909090909
1.0,27.27272727272727,72.72727272727273
