nota,0,1,All
0.0,15,0,15
0.15,2,0,2
0.25,1,0,1
0.35,1,0,1
0.38,1,0,1
0.4,4,0,4
0.45,1,0,1
0.5,7,0,7
0.55,1,0,1
0.56,2,0,2
0.6,4,0,4
0.62,2,0,2
0.65,7,0,7
0.69,3,0,3
0.7,7,0,7
0.75,14,1,15
0.8,9,0,9
0.85,10,0,10
0.88,9,2,11
0.9,8,0,8
0.95,10,1,11
1.0,18,4,22
All,136,8,144
