nota,0,1
0.0,93.33333333333333,6.666666666666667
0.15,50.0,50.0
0.25,100.0,0.0
0.35,0.0,100.0
0.38,0.0,100.0
0.4,50.0,50.0
0.45,100.0,0.0
0.5,57.14285714285714,42.857142857142854
0.55,0.0,100.0
0.56,50.0,50.0
0.6,50.0,50.0
0.62,50.0,50.0
0.65,85.71428571428571,14.285714285714285
0.69,100.0,0.0
0.7,57.14285714285714,42.857142857142854
0.75,66.66666666666666,33.33333333333333
0.8,22.22222222222222,77.77777777777779
0.85,70.0,30.0
0.88,36.36363636363637,63.63636363636363
0.9,62.5,37.5
0.95,36.36363636363637,63.63636363636363
1.0,63.63636363636363,36.36363636363637
