nota,0,1,All
0.0,15,0,15
0.15,2,0,2
0.25,0,1,1
0.35,1,0,1
0.38,0,1,1
0.4,2,2,4
0.45,0,1,1
0.5,6,1,7
0.55,0,1,1
0.56,0,2,2
0.6,3,1,4
0.62,1,1,2
0.65,4,3,7
0.69,1,2,3
0.7,5,2,7
0.75,11,4,15
0.8,7,2,9
0.85,8,2,10
0.88,5,6,11
0.9,7,1,8
0.95,7,4,11
1.0,14,8,22
All,99,45,144
