nota,0,1
0.0,100.0,0.0
0.15,100.0,0.0
0.25,0.0,100.0
0.35,100.0,0.0
0.38,0.0,100.0
0.4,50.0,50.0
0.45,0.0,100.0
0.5,85.71428571428571,14.285714285714285
0.55,0.0,100.0
0.56,0.0,100.0
0.6,75.0,25.0
0.62,50.0,50.0
0.65,57.14285714285714,42.857142857142854
0.69,33.33333333333333,66.66666666666666
0.7,71.42857142857143,28.57142857142857
0.75,73.33333333333333,26.666666666666668
0.8,77.77777777777779,22.22222222222222
0.85,80.0,20.0
0.88,45.45454545454545,54.54545454545454
0.9,87.5,12.5
0.95,63.63636363636363,36.36363636363637
1.0,63.63636363636363,36.36363636363637
