nota,0,1,All
0.0,14,1,15
0.15,0,2,2
0.25,0,1,1
0.35,0,1,1
0.38,0,1,1
0.4,1,3,4
0.45,0,1,1
0.5,1,6,7
0.55,0,1,1
0.56,0,2,2
0.6,0,4,4
0.62,0,2,2
0.65,0,7,7
0.69,1,2,3
0.7,1,6,7
0.75,3,12,15
0.8,1,8,9
0.85,0,10,10
0.88,0,11,11
0.9,1,7,8
0.95,0,11,11
1.0,1,21,22
All,24,120,144
