nota,0,1,All
0.0,14,1,15
0.15,1,1,2
0.25,1,0,1
0.35,0,1,1
0.38,0,1,1
0.4,2,2,4
0.45,1,0,1
0.5,4,3,7
0.55,0,1,1
0.56,1,1,2
0.6,2,2,4
0.62,1,1,2
0.65,6,1,7
0.69,3,0,3
0.7,4,3,7
0.75,10,5,15
0.8,2,7,9
0.85,7,3,10
0.88,4,7,11
0.9,5,3,8
0.95,4,7,11
1.0,14,8,22
All,86,58,144
